,datetime,count,temp,precip
256,13-Sep-19,22321,18.9,1.75
257,14-Sep-19,21836,20.55,0
258,15-Sep-19,29092,25.3,0
259,16-Sep-19,17749,23.05,0
260,17-Sep-19,13322,21.1,0
261,18-Sep-19,13536,17.5,0
262,19-Sep-19,14699,16.65,0
263,20-Sep-19,18462,20.85,0
264,21-Sep-19,18619,23.3,0
265,22-Sep-19,23575,25,0
266,23-Sep-19,14188,27.2,0
267,24-Sep-19,11923,21.9,0.75
268,25-Sep-19,11100,21.4,0
269,26-Sep-19,14078,23.6,0
270,27-Sep-19,18080,21.4,0
271,28-Sep-19,16039,23.05,0
272,29-Sep-19,23560,22.75,0
273,30-Sep-19,15151,18.35,0
274,1-Oct-19,12785,22.8,0
275,2-Oct-19,10848,27.8,0
276,3-Oct-19,13284,16.1,8
277,4-Oct-19,15740,14.7,3
278,5-Oct-19,15183,11.7,0
279,6-Oct-19,24248,17.5,0
280,7-Oct-19,11328,20.85,0.25
281,8-Oct-19,12101,16.65,1.5
282,9-Oct-19,12751,13.9,0
283,10-Oct-19,8420,16.95,13.5
284,11-Oct-19,14682,15.55,0
285,12-Oct-19,14561,16.65,0
286,13-Oct-19,18654,16.65,0
287,14-Oct-19,25300,19.15,0
288,15-Oct-19,13201,15.25,0
289,16-Oct-19,9612,16.1,0
290,17-Oct-19,12337,13.35,42.75
291,18-Oct-19,14317,12.2,0
292,19-Oct-19,17539,12.5,0
293,20-Oct-19,21203,13.05,0
294,21-Oct-19,10851,15.25,9.25
295,22-Oct-19,10358,15,0
296,23-Oct-19,10090,16.4,12.75
297,24-Oct-19,9870,15.55,0
298,25-Oct-19,14220,15.8,0
299,26-Oct-19,12800,15,0
300,27-Oct-19,21875,17.2,0.75
301,28-Oct-19,13401,14.75,34.5
302,29-Oct-19,8888,13.05,0
303,30-Oct-19,6394,14.45,2.5
304,31-Oct-19,10064,17.2,7.5
